response_id,readiness_index,practice_completion_rate,growth_points,assessment_form
relationship_response_1532,18,0.295,-2.1,Form C
relationship_response_1533,56.5,0.65,23.6,Form C
relationship_response_1534,26.4,0.075,2.5,Form B
relationship_response_1535,40.5,0.239,8.2,Form A
relationship_response_1536,16.1,0.302,-9.4,Form A
relationship_response_1537,62.3,0.601,34.3,Form A
relationship_response_1538,78.4,0.74,19.9,Form C
relationship_response_1539,80.9,0.686,28.1,Form B
relationship_response_1540,36.5,0.506,22,Form C
relationship_response_1541,94.4,0.768,29.1,Form A
relationship_response_1542,26.9,0.179,4.8,Form B
relationship_response_1543,63.9,0.42,15.9,Form C
relationship_response_1544,77.9,0.695,22,Form B
relationship_response_1545,32.2,0.094,3.4,Form C
relationship_response_1546,87.2,0.75,31.7,Form B
relationship_response_1547,79.6,0.715,40.2,Form A
relationship_response_1548,22.9,0.248,12.6,Form A
relationship_response_1549,90.8,0.233,24.1,Form C
relationship_response_1550,83.8,0.537,20.9,Form A
relationship_response_1551,41.4,0.41,5.9,Form B
relationship_response_1552,69.7,0.56,12.6,Form B
relationship_response_1553,64.3,0.62,13.3,Form C
relationship_response_1554,20.1,0.243,1.3,Form C
relationship_response_1555,54.1,0.412,5.1,Form A
relationship_response_1556,91.1,0.649,36.4,Form A
relationship_response_1557,56.5,0.327,15.7,Form C
relationship_response_1558,40,0.204,15.4,Form C
relationship_response_1559,76.3,0.503,35.3,Form B
relationship_response_1560,42.5,0.596,12.1,Form B
relationship_response_1561,87.2,0.799,45.2,Form A
relationship_response_1562,73.5,0.422,20.1,Form B
relationship_response_1563,59.8,0.591,18.8,Form C
relationship_response_1564,54.9,0.31,0.3,Form C
relationship_response_1565,74,0.849,22.2,Form B
relationship_response_1566,62.6,0.311,13.1,Form A
relationship_response_1567,3.3,0.143,-13.1,Form B
relationship_response_1568,42.7,0.585,19.5,Form B
relationship_response_1569,72.6,0.512,24.4,Form B
relationship_response_1570,65,0.27,10.9,Form B
relationship_response_1571,20.8,0.329,-0.3,Form C
relationship_response_1572,90,0.72,49.7,Form B
relationship_response_1573,94.6,0.677,52,Form C
relationship_response_1574,4.2,0.265,0.8,Form C
relationship_response_1575,35.4,0.351,18.1,Form C
relationship_response_1576,25.8,0.243,2.8,Form A
relationship_response_1577,68.7,0.697,22.6,Form C
relationship_response_1578,22.1,0.142,-5.1,Form C
relationship_response_1579,45.7,0.383,6.8,Form C
relationship_response_1580,70.6,0.293,19.8,Form C
relationship_response_1581,68.5,0.763,22.2,Form C
relationship_response_1582,69,0.336,6.7,Form C
relationship_response_1583,12.9,0.168,-17.4,Form A
relationship_response_1584,24.5,0.128,1.1,Form B
relationship_response_1585,68,0.558,31.8,Form C
relationship_response_1586,84.7,0.706,25.4,Form B
relationship_response_1587,71.5,0.558,27.8,Form B
relationship_response_1588,36.3,0.355,23.4,Form B
relationship_response_1589,64.8,0.648,30.6,Form C
relationship_response_1590,23.7,0.242,-13.9,Form B
relationship_response_1591,75,0.735,13.5,Form C
relationship_response_1592,67.6,0.585,35.9,Form B
relationship_response_1593,22.8,0.355,3.9,Form C
relationship_response_1594,70.4,0.481,22,Form C
relationship_response_1595,43.8,0.566,8.8,Form B
relationship_response_1596,79.2,0.842,41.9,Form C
relationship_response_1597,68.3,0.564,8.3,Form B
relationship_response_1598,45.3,0.647,8.3,Form A
relationship_response_1599,56.4,0.435,19.2,Form A
relationship_response_1600,87.2,0.434,32.5,Form C
relationship_response_1601,73.5,0.724,18.7,Form C
relationship_response_1602,68.9,0.555,21.9,Form C
relationship_response_1603,70.8,0.767,39.9,Form B
relationship_response_1604,30.8,0.274,2.5,Form A
relationship_response_1605,37.2,0.296,5.6,Form C
relationship_response_1606,88.9,0.577,47.4,Form C
relationship_response_1607,17.4,0.062,17.3,Form C
relationship_response_1608,30,0.211,5.4,Form A
relationship_response_1609,61.6,0.467,18.6,Form A
relationship_response_1610,61.8,0.383,15,Form B
relationship_response_1611,82.6,0.801,23.2,Form C
relationship_response_1612,70.2,0.528,33.4,Form A
relationship_response_1613,20.7,0.147,7.1,Form C
relationship_response_1614,21.6,0.256,15.4,Form A
relationship_response_1615,45.6,0.205,12,Form A
relationship_response_1616,73.4,0.257,13,Form A
relationship_response_1617,73.3,0.889,19,Form B
relationship_response_1618,82.1,0.704,26.8,Form C
relationship_response_1619,30.8,0.047,2.2,Form A
relationship_response_1620,68.6,0.356,10.8,Form A
relationship_response_1621,47.1,0.336,19,Form A
relationship_response_1622,49.6,0.144,10.4,Form C
relationship_response_1623,68.5,0.525,24.1,Form B
relationship_response_1624,74.4,0.732,33,Form B
relationship_response_1625,53.6,0.262,-10.4,Form B
relationship_response_1626,51.7,0.155,-7,Form B
relationship_response_1627,50.8,0.481,9.3,Form A
relationship_response_1628,72,0.716,27.4,Form C
relationship_response_1629,26.9,0.326,5.1,Form B
relationship_response_1630,37.8,0.694,6.3,Form C
relationship_response_1631,65.4,0.607,19.3,Form A
relationship_response_1632,48.1,0.402,20.6,Form B
relationship_response_1633,63.9,0.657,7.4,Form C
relationship_response_1634,55.9,0.732,17.6,Form A
relationship_response_1635,16.2,0.042,-9.4,Form A
relationship_response_1636,20.5,0.31,9.8,Form A
relationship_response_1637,88.6,0.426,34.2,Form B
relationship_response_1638,39,0.532,9.5,Form B
relationship_response_1639,65.9,0.596,-1.2,Form A
relationship_response_1640,52.2,0.346,8.6,Form A
relationship_response_1641,39.4,0.678,-8.6,Form B
relationship_response_1642,6.6,0.092,-7.8,Form B
relationship_response_1643,42.7,0.199,7.4,Form A
relationship_response_1644,65.5,0.533,14.4,Form B
relationship_response_1645,84,0.658,30.5,Form B
relationship_response_1646,90.9,0.866,52,Form C
relationship_response_1647,55.6,0.827,4,Form A
relationship_response_1648,33.4,0.809,-7.5,Form A
relationship_response_1649,52.7,0.407,9.2,Form A
relationship_response_1650,12.8,0.046,14.8,Form B
relationship_response_1651,46.3,0.399,28.8,Form A
relationship_response_1652,55.9,0.658,16.1,Form A
relationship_response_1653,21.6,0.064,-20.5,Form B
relationship_response_1654,73.6,0.74,18.1,Form B
relationship_response_1655,75.1,0.821,52,Form A
relationship_response_1656,62.9,0.548,10.5,Form B
relationship_response_1657,10,0.169,-16.7,Form B
relationship_response_1658,60.1,0.589,29.8,Form C
relationship_response_1659,19.5,0.402,-11.3,Form B
relationship_response_1660,67.9,0.882,10,Form B
relationship_response_1661,26.6,0.199,8.9,Form C
relationship_response_1662,74.5,0.614,22.1,Form B
relationship_response_1663,43.5,0.739,11.7,Form C
relationship_response_1664,75.3,0.659,19.8,Form C
relationship_response_1665,55.6,0.474,7.3,Form B
relationship_response_1666,35.5,0.146,3.8,Form B
relationship_response_1667,52.2,0.528,20.9,Form A
relationship_response_1668,67.2,0.639,14.2,Form A
relationship_response_1669,49.5,0.472,16.8,Form C
relationship_response_1670,25.8,0.261,-10.7,Form C
relationship_response_1671,25.5,0.109,-1.7,Form A
relationship_response_1672,87.4,0.792,33.2,Form B
relationship_response_1673,60.4,0.613,19.5,Form A
relationship_response_1674,61.1,0.593,15.9,Form B
relationship_response_1675,62,0.155,10.2,Form A
relationship_response_1676,51.9,0.216,10,Form B
relationship_response_1677,51.2,0.676,-1.4,Form C
relationship_response_1678,32,0.324,10.6,Form C
relationship_response_1679,6.7,0.174,-14.8,Form A
relationship_response_1680,38.1,0.191,18.6,Form B
relationship_response_1681,71,0.66,20,Form A
relationship_response_1682,80,0.636,28.8,Form C
relationship_response_1683,53.8,0.421,8.6,Form B
relationship_response_1684,36.2,0.292,6.9,Form A
relationship_response_1685,40.8,0.349,12.3,Form A
relationship_response_1686,49.5,0.477,8.8,Form A
relationship_response_1687,40.5,0.325,5.1,Form B
relationship_response_1688,28.2,0.249,7.8,Form C
relationship_response_1689,8.6,0.085,-3.6,Form B
relationship_response_1690,87.4,0.802,30.7,Form C
relationship_response_1691,89.7,0.521,31.9,Form B
relationship_response_1692,77.7,0.738,31.3,Form C
relationship_response_1693,64.4,0.649,28.8,Form A
relationship_response_1694,50.9,0.338,1.7,Form C
relationship_response_1695,70.6,0.846,34,Form B
relationship_response_1696,47.6,0.451,19.5,Form C
relationship_response_1697,55.5,0.76,18.3,Form B
relationship_response_1698,52.3,0.135,3.9,Form C
relationship_response_1699,33.6,0.288,16.2,Form B
relationship_response_1700,38.5,0.319,-15,Form C
relationship_response_1701,33.1,0.301,-8,Form C
relationship_response_1702,39.7,0.41,14.2,Form A
relationship_response_1703,52.1,0.724,17.4,Form B
relationship_response_1704,17.9,0.272,-7.7,Form C
relationship_response_1705,39.4,0.442,22,Form C
relationship_response_1706,66.3,0.741,13.7,Form C
relationship_response_1707,51.6,0.619,3.3,Form A
relationship_response_1708,73.7,0.898,21.8,Form B
relationship_response_1709,85.2,0.788,34.2,Form C
relationship_response_1710,69.1,0.574,30.1,Form C
relationship_response_1711,28.4,0.213,-3.5,Form A
relationship_response_1712,16.3,0.129,-10.5,Form A
relationship_response_1713,35.3,0.299,24.7,Form A
relationship_response_1714,69.2,0.513,20,Form C
relationship_response_1715,65.4,0.415,14.8,Form A
relationship_response_1716,52.7,0.476,2.5,Form A
relationship_response_1717,31,0.443,7.8,Form C
relationship_response_1718,5.5,0.081,-14,Form B
relationship_response_1719,74.4,0.197,35.3,Form B
relationship_response_1720,70.2,0.492,25.1,Form A
relationship_response_1721,72.2,0.505,17.8,Form B
relationship_response_1722,69.6,0.523,18.2,Form A
relationship_response_1723,72.4,0.908,31,Form C
relationship_response_1724,61.6,0.627,21.7,Form B
relationship_response_1725,28.1,0.135,-8.1,Form B
relationship_response_1726,62,0.292,17.2,Form A
relationship_response_1727,19.9,0.359,-1,Form C
relationship_response_1728,69.7,0.692,27.4,Form C
relationship_response_1729,55.6,0.842,11.6,Form B
relationship_response_1730,77.9,0.472,29.7,Form B
relationship_response_1731,38.9,0.48,-6.8,Form C
relationship_response_1732,38.4,0.472,10.6,Form C
relationship_response_1733,29.8,0.478,11.4,Form C
relationship_response_1734,16,0.233,14.2,Form C
relationship_response_1735,80.9,0.635,35,Form A
relationship_response_1736,83.7,0.554,32.8,Form A
relationship_response_1737,66.5,0.585,5.6,Form A
relationship_response_1738,35.9,0.169,19.9,Form B
relationship_response_1739,51.8,0.777,19.1,Form B
relationship_response_1740,39.8,0.348,-5.6,Form B
relationship_response_1741,44.3,0.335,7.1,Form B
relationship_response_1742,19.4,0.635,7.4,Form B
relationship_response_1743,29.6,0.304,0.4,Form A
relationship_response_1744,61.4,0.544,20.7,Form B
relationship_response_1745,43.4,0.587,2.3,Form A
relationship_response_1746,66.8,0.476,7.5,Form A
relationship_response_1747,44.1,0.439,22.2,Form B
relationship_response_1748,31.1,0.197,-0.8,Form A
relationship_response_1749,54.4,0.539,-3.4,Form B
relationship_response_1750,54.5,0.304,4.9,Form A
relationship_response_1751,79.9,0.523,19.7,Form C
relationship_response_1752,15.2,0.078,14.6,Form A
relationship_response_1753,23.4,0.351,3.5,Form B
relationship_response_1754,47.5,0.428,-6.3,Form A
relationship_response_1755,31.6,0.175,3.2,Form B
relationship_response_1756,39.9,0.249,-6.3,Form C
relationship_response_1757,62.5,0.332,7,Form B
relationship_response_1758,77.4,0.205,31.4,Form A
relationship_response_1759,1.1,0.008,-4.5,Form A
relationship_response_1760,29.6,0.715,6.2,Form A
relationship_response_1761,80.9,0.606,24.7,Form C
relationship_response_1762,89.1,0.689,23.5,Form A
relationship_response_1763,74.7,0.688,20.9,Form B
relationship_response_1764,50.1,0.094,-1.6,Form C
relationship_response_1765,53.6,0.563,6.9,Form A
relationship_response_1766,70.9,0.733,24.3,Form C
relationship_response_1767,48.9,0.479,23.3,Form C
relationship_response_1768,89.3,0.667,31.9,Form B
relationship_response_1769,38,0.163,-1.2,Form A
relationship_response_1770,62.2,0.429,13.5,Form C
relationship_response_1771,46.8,0.71,9.8,Form B
relationship_response_1772,9.8,0.165,1.1,Form B
relationship_response_1773,53,0.4,-2.7,Form C
relationship_response_1774,67,0.389,6.5,Form C
relationship_response_1775,60.4,0.47,23.8,Form A
relationship_response_1776,80,0.925,28.3,Form B
relationship_response_1777,77.3,0.677,35.6,Form A
relationship_response_1778,79.1,0.724,31.1,Form A
relationship_response_1779,54.3,0.316,14.4,Form B
relationship_response_1780,52.7,0.521,6.2,Form B
relationship_response_1781,44,0.327,-2.6,Form A
relationship_response_1782,70.8,0.519,15.8,Form A
relationship_response_1783,75.9,0.551,29.1,Form C
relationship_response_1784,60.5,0.418,13.8,Form C
relationship_response_1785,62.6,0.46,6.3,Form A
relationship_response_1786,32.2,0.249,2.9,Form B
relationship_response_1787,17.9,0.164,5.1,Form C
relationship_response_1788,20.3,0.134,-11.4,Form B
relationship_response_1789,47.6,0.752,4.7,Form A
relationship_response_1790,10.4,0.147,2,Form B
relationship_response_1791,71.8,0.883,38.8,Form A
relationship_response_1792,64.4,0.666,7.3,Form A
relationship_response_1793,63.9,0.403,8.7,Form A
relationship_response_1794,51.8,0.316,9.4,Form A
relationship_response_1795,80,0.362,21.6,Form C
relationship_response_1796,22,0.204,0.9,Form C
relationship_response_1797,66.3,0.492,11.4,Form C
relationship_response_1798,57.2,0.486,22.1,Form B
relationship_response_1799,64.5,0.736,14.7,Form C
relationship_response_1800,26.5,0.148,-4.3,Form C
relationship_response_1801,64.3,0.114,-3.1,Form A
relationship_response_1802,26.1,0.066,-3.7,Form C
relationship_response_1803,46.6,0.169,3.8,Form C
relationship_response_1804,15.6,0.085,-5.2,Form B
relationship_response_1805,62.3,0.317,5,Form B
relationship_response_1806,62.7,0.78,20.4,Form A
relationship_response_1807,51.1,0.517,14.8,Form C
relationship_response_1808,49.4,0.569,3.2,Form A
relationship_response_1809,55.7,0.425,7.2,Form A
relationship_response_1810,73.8,0.747,29.6,Form C
relationship_response_1811,68.6,0.774,16.3,Form A
relationship_response_1812,49.1,0.413,15.8,Form A
relationship_response_1813,74.8,0.868,25.6,Form A
relationship_response_1814,48.1,0.667,13.3,Form C
relationship_response_1815,82.7,0.721,34.5,Form C
relationship_response_1816,61.9,0.188,6.3,Form C
relationship_response_1817,66.2,0.517,11.9,Form A
relationship_response_1818,57.6,0.293,-1.8,Form B
relationship_response_1819,61.1,0.356,6.6,Form A
relationship_response_1820,52.6,0.212,7.1,Form B
relationship_response_1821,57.4,0.711,18.7,Form C
relationship_response_1822,25.4,0.494,14.1,Form C
relationship_response_1823,37.4,0.188,7.4,Form A
relationship_response_1824,76.9,0.89,33,Form B
relationship_response_1825,10.9,0.101,-2.7,Form B
relationship_response_1826,72.3,0.215,5.6,Form C
relationship_response_1827,68.4,0.775,20.6,Form B
relationship_response_1828,54.9,0.49,15.8,Form C
relationship_response_1829,27.6,0.425,5.2,Form A
relationship_response_1830,54.9,0.383,9,Form B
relationship_response_1831,33.3,0.491,-9.9,Form C
relationship_response_1832,19.4,0.107,-5,Form B
relationship_response_1833,49.2,0.297,-2.3,Form B
relationship_response_1834,62.1,0.309,8.3,Form C
relationship_response_1835,60.8,0.643,-2.1,Form A
relationship_response_1836,65.5,0.443,26,Form B
relationship_response_1837,45.5,0.26,6.5,Form B
relationship_response_1838,67.9,0.91,27.7,Form B
relationship_response_1839,84.6,0.538,47.3,Form B
relationship_response_1840,34.8,0.302,2.1,Form A
relationship_response_1841,46,0.38,14.5,Form B
relationship_response_1842,65.4,0.522,21.7,Form C
relationship_response_1843,62.4,0.723,10.7,Form B
relationship_response_1844,47.4,0.641,6.5,Form A
relationship_response_1845,28.4,0.334,8.2,Form C
relationship_response_1846,60.4,0.673,-2.1,Form A
relationship_response_1847,41.3,0.309,10.3,Form C
relationship_response_1848,93.8,0.798,52,Form A
relationship_response_1849,69.7,0.477,27,Form B
relationship_response_1850,9.6,0.125,-1.3,Form A
relationship_response_1851,45.4,0.503,3.2,Form B
relationship_response_1852,76.7,0.872,16.9,Form A
relationship_response_1853,74.7,0.242,24.7,Form C
relationship_response_1854,12.4,0.083,-3.5,Form B
relationship_response_1855,58.7,0.451,10.2,Form A
relationship_response_1856,56.4,0.808,17.7,Form B
relationship_response_1857,60.9,0.548,15.4,Form C
relationship_response_1858,32.7,0.103,-10.1,Form A
relationship_response_1859,66.9,0.627,22.4,Form A
relationship_response_1860,76.3,0.281,8.6,Form C
relationship_response_1861,59.1,0.475,18.8,Form C
relationship_response_1862,69.8,0.582,11.3,Form A
relationship_response_1863,23.5,0.142,-1.7,Form A
relationship_response_1864,52.6,0.369,21.8,Form A
relationship_response_1865,62.7,0.406,6.9,Form B
relationship_response_1866,24.3,0.127,-4.5,Form C
relationship_response_1867,73.3,0.662,32.9,Form A
relationship_response_1868,56.9,0.518,8.3,Form A
relationship_response_1869,64.9,0.275,23.9,Form C
relationship_response_1870,59.2,0.233,6.6,Form B
relationship_response_1871,84.3,0.863,36.3,Form A
relationship_response_1872,40.2,0.242,2.1,Form C
relationship_response_1873,27.9,0.485,-2.3,Form C
relationship_response_1874,68.9,0.669,39,Form C
relationship_response_1875,34.2,0.257,-7.6,Form A
relationship_response_1876,51.9,0.411,20.6,Form C
relationship_response_1877,41.6,0.335,3,Form C
relationship_response_1878,41.1,0.315,-2.2,Form A
relationship_response_1879,72.8,0.765,13.5,Form B
relationship_response_1880,12.9,0.145,2.4,Form B
relationship_response_1881,62.9,0.834,36.5,Form B
relationship_response_1882,55.6,0.569,20.4,Form C
relationship_response_1883,9,0.261,-10.5,Form A
relationship_response_1884,71.7,0.844,30,Form A
relationship_response_1885,47,0.627,11.7,Form C
relationship_response_1886,44.2,0.19,12,Form A
relationship_response_1887,40,0.255,5.7,Form B
relationship_response_1888,35.1,0.039,-4.7,Form C
relationship_response_1889,66.8,0.15,11.2,Form B
relationship_response_1890,31.7,0.313,12.9,Form A
relationship_response_1891,85.8,0.784,32.1,Form A
relationship_response_1892,62.8,0.54,18.9,Form B
relationship_response_1893,61.8,0.56,23.8,Form B
relationship_response_1894,63.8,0.516,15.2,Form A
relationship_response_1895,19.8,0.187,-4.9,Form C
relationship_response_1896,54,0.206,15,Form B
relationship_response_1897,52.5,0.667,5,Form C
relationship_response_1898,72.4,0.731,20.4,Form C
relationship_response_1899,56.4,0.211,18.6,Form A
relationship_response_1900,57.2,0.498,25.3,Form C
relationship_response_1901,76.2,0.693,9.8,Form A
relationship_response_1902,77.4,0.543,33,Form C
relationship_response_1903,59.5,0.374,9.1,Form A
relationship_response_1904,66.7,0.793,29.9,Form B
relationship_response_1905,50.2,0.142,-3.2,Form B
relationship_response_1906,23.2,0.145,13.5,Form A
relationship_response_1907,20.1,0.286,-6.5,Form B
relationship_response_1908,13.2,0.2,-5.9,Form A
relationship_response_1909,41.9,0.682,0.5,Form A
relationship_response_1910,63.2,0.348,11,Form C
relationship_response_1911,10.3,0.197,2.4,Form B
relationship_response_1912,36.6,0.217,-0.3,Form C
relationship_response_1913,22.3,0.195,-6.8,Form C
relationship_response_1914,40.7,0.623,4.1,Form B
relationship_response_1915,48.9,0.344,-1,Form A
relationship_response_1916,83.2,0.552,41.2,Form B
relationship_response_1917,59.7,0.608,35.9,Form C
relationship_response_1918,54.1,0.67,0.8,Form B
relationship_response_1919,34.2,0.244,20.6,Form B
relationship_response_1920,43,0.219,16.2,Form B
relationship_response_1921,66.9,0.458,5.6,Form C
relationship_response_1922,56.3,0.724,12.6,Form B
relationship_response_1923,52.1,0.307,2,Form C
relationship_response_1924,94.6,0.859,43.2,Form A
relationship_response_1925,60.1,0.401,8.8,Form C
relationship_response_1926,21.6,0.206,-9.5,Form C
relationship_response_1927,42.5,0.355,10.2,Form A
relationship_response_1928,69.1,0.633,21.7,Form C
relationship_response_1929,66.7,0.425,22,Form A
relationship_response_1930,53.4,0.279,5.2,Form C
relationship_response_1931,48.5,0.409,14.2,Form A
relationship_response_1932,78,0.872,34,Form A
relationship_response_1933,77,0.688,16.7,Form A
relationship_response_1934,18.3,0.083,9.9,Form C
relationship_response_1935,86.3,0.354,25.6,Form A
relationship_response_1936,78.5,0.732,31.8,Form A
relationship_response_1937,20.2,0.227,-3.3,Form B
relationship_response_1938,47.7,0.212,5,Form B
relationship_response_1939,69.7,0.648,10.5,Form B
relationship_response_1940,77.3,0.59,38.6,Form B
relationship_response_1941,19.1,0.173,-4.9,Form C
relationship_response_1942,54.1,0.61,6,Form A
relationship_response_1943,15.5,0.135,-11.8,Form C
relationship_response_1944,70.5,0.782,37.3,Form C
relationship_response_1945,33.5,0.803,12.7,Form B
relationship_response_1946,87.6,0.485,35.7,Form B
relationship_response_1947,63.2,0.477,7.2,Form B
relationship_response_1948,86.8,0.774,36.8,Form B
relationship_response_1949,39.4,0.353,19.7,Form A
relationship_response_1950,79.7,0.64,27.9,Form C
relationship_response_1951,19.4,0.222,1,Form A
relationship_response_1952,76,0.887,23.8,Form A
relationship_response_1953,9.1,0.077,-2.5,Form A
relationship_response_1954,76.6,0.302,17.2,Form A
relationship_response_1955,80.3,0.479,39.2,Form C
relationship_response_1956,40.2,0.539,11.3,Form B
relationship_response_1957,73,0.677,25.5,Form A
relationship_response_1958,59.3,0.242,13.6,Form C
relationship_response_1959,24.2,0.186,12.5,Form A
relationship_response_1960,39.7,0.185,-11.9,Form B
relationship_response_1961,25,0.253,-7,Form C
relationship_response_1962,69.6,0.506,6.7,Form C
relationship_response_1963,72.4,0.52,26.5,Form B
relationship_response_1964,80,0.762,28,Form A
relationship_response_1965,25.2,0.212,5.2,Form A
relationship_response_1966,77,0.428,29.7,Form A
relationship_response_1967,58.2,0.456,21.6,Form B
relationship_response_1968,25.8,0.193,0.6,Form A
relationship_response_1969,57.3,0.597,-4.3,Form A
relationship_response_1970,8.2,0.216,1.5,Form C
relationship_response_1971,74,0.63,20.2,Form B
relationship_response_1972,31,0.273,-1.5,Form A
relationship_response_1973,66.4,0.456,10.8,Form A
relationship_response_1974,43.6,0.339,8.1,Form A
relationship_response_1975,36.1,0.256,-0.6,Form C
relationship_response_1976,64.2,0.608,9.3,Form C
relationship_response_1977,55.8,0.375,18.4,Form A
relationship_response_1978,78,0.554,26.5,Form A
relationship_response_1979,35,0.495,2.4,Form A
relationship_response_1980,66.5,0.7,10.4,Form A
relationship_response_1981,31.7,0.145,-1.1,Form C
relationship_response_1982,31.3,0.184,-2.4,Form A
relationship_response_1983,16,0.243,-13.7,Form C
relationship_response_1984,68,0.548,3.6,Form A
relationship_response_1985,58.7,0.442,21.6,Form A
relationship_response_1986,79.8,0.499,23.8,Form B
relationship_response_1987,6.8,0.046,-12.3,Form A
relationship_response_1988,91.5,0.747,39.7,Form A
relationship_response_1989,33.1,0.494,23.5,Form B
relationship_response_1990,59,0.59,21.7,Form A
relationship_response_1991,33.4,0.321,-2.9,Form A
relationship_response_1992,52.2,0.285,5.1,Form C
relationship_response_1993,19.3,0.163,-7.3,Form C
relationship_response_1994,82.1,0.847,29.9,Form A
relationship_response_1995,68,0.689,24.6,Form B
relationship_response_1996,46.7,0.112,5.3,Form A
relationship_response_1997,60.1,0.485,13.2,Form C
relationship_response_1998,61.3,0.76,11.5,Form A
relationship_response_1999,86.2,0.273,33.9,Form B
relationship_response_2000,44.9,0.499,11.8,Form C
relationship_response_2001,20.8,0.076,8.9,Form A
relationship_response_2002,70.9,0.788,18.7,Form A
relationship_response_2003,50.3,0.147,4.1,Form A
relationship_response_2004,2.2,0.116,-10.5,Form B
relationship_response_2005,81.1,0.522,33,Form B
relationship_response_2006,70.8,0.744,28.5,Form C
relationship_response_2007,68.2,0.534,31,Form A
relationship_response_2008,59.2,0.626,8.1,Form B
relationship_response_2009,39.9,0.36,12.2,Form B
relationship_response_2010,45.4,0.326,10,Form C
relationship_response_2011,23.3,0.06,-8.1,Form A
relationship_response_2012,34.3,0.636,11.2,Form B
relationship_response_2013,82.3,0.853,43.1,Form B
relationship_response_2014,78.3,0.358,23.9,Form C
relationship_response_2015,54.7,0.595,-2.2,Form A
relationship_response_2016,73.6,0.411,15.5,Form B
relationship_response_2017,69.8,0.681,16.2,Form C
relationship_response_2018,70.9,0.597,19,Form B
relationship_response_2019,68.4,0.388,15.8,Form B
relationship_response_2020,53,0.684,11.4,Form B
relationship_response_2021,30.4,0.233,0.8,Form A
relationship_response_2022,27.7,0.325,-6,Form C
relationship_response_2023,73.9,0.427,12.9,Form B
relationship_response_2024,59.2,0.601,7.9,Form C
relationship_response_2025,55.8,0.755,25.7,Form C
relationship_response_2026,26.4,0.529,1.4,Form B
relationship_response_2027,77.7,0.66,7.2,Form B
relationship_response_2028,49.9,0.556,-0.3,Form A
relationship_response_2029,58.9,0.288,15.2,Form A
relationship_response_2030,30.1,0.644,6.4,Form B
relationship_response_2031,68.5,0.763,15.5,Form A
relationship_response_2032,62,0.616,16.9,Form B
relationship_response_2033,54.3,0.096,24.3,Form A
relationship_response_2034,66.2,0.605,36.8,Form B
relationship_response_2035,54.7,0.149,-2.7,Form B
relationship_response_2036,38.3,0.121,18.8,Form B
relationship_response_2037,37.6,0.284,-3.8,Form A
relationship_response_2038,91.6,0.737,45,Form A
relationship_response_2039,92.7,0.916,38,Form B
relationship_response_2040,74.4,0.835,26.3,Form B
relationship_response_2041,41.2,0.43,13,Form C
relationship_response_2042,62.3,0.499,16.3,Form B
relationship_response_2043,58.5,0.451,13.1,Form C
relationship_response_2044,36,0.301,-1.2,Form C
relationship_response_2045,8.2,0.22,-11,Form C
relationship_response_2046,35.7,0.227,20.8,Form B
relationship_response_2047,49.6,0.436,16.8,Form A
relationship_response_2048,45,0.511,6.2,Form B
relationship_response_2049,41.2,0.414,9.3,Form B
relationship_response_2050,63.3,0.194,6.4,Form B
relationship_response_2051,33.5,0.393,9.6,Form B
relationship_response_2052,79.3,0.825,43.8,Form C
relationship_response_2053,33.4,0.115,5.8,Form B
relationship_response_2054,65.5,0.579,20.7,Form B
relationship_response_2055,43,0.604,8,Form B
relationship_response_2056,47,0.329,6.6,Form A
relationship_response_2057,46,0.681,-1.8,Form A
relationship_response_2058,61.5,0.377,5.6,Form C
relationship_response_2059,48.4,0.4,11.2,Form C
relationship_response_2060,53.1,0.221,6,Form C
relationship_response_2061,74.1,0.646,27.3,Form A
relationship_response_2062,43.9,0.47,6,Form B
relationship_response_2063,56.2,0.222,-17.2,Form C
relationship_response_2064,12.6,0.068,-11.7,Form B
relationship_response_2065,72.6,0.613,30.8,Form B
relationship_response_2066,32.8,0.032,-12.8,Form C
relationship_response_2067,30.4,0.564,10.1,Form A
relationship_response_2068,48.1,0.138,12.3,Form A
relationship_response_2069,13.5,0.134,-9.6,Form B
relationship_response_2070,78.5,0.664,40.9,Form A
relationship_response_2071,85.5,0.608,32.2,Form C
relationship_response_2072,38.2,0.326,-8,Form C
relationship_response_2073,58.4,0.626,3.4,Form A
relationship_response_2074,34.3,0.074,1.4,Form A
relationship_response_2075,52.3,0.235,8.9,Form B
relationship_response_2076,63.8,0.516,29.5,Form C
relationship_response_2077,59.6,0.676,9.3,Form A
relationship_response_2078,25,0.352,-3.6,Form C
relationship_response_2079,89.5,0.945,40,Form C
relationship_response_2080,43,0.542,6.8,Form C
relationship_response_2081,55.2,0.538,12.4,Form A
relationship_response_2082,68.5,0.778,22.7,Form C
relationship_response_2083,59.3,0.887,20.4,Form A
relationship_response_2084,49.8,0.485,12.4,Form B
relationship_response_2085,73.6,0.482,17.1,Form C
relationship_response_2086,70.2,0.686,26.3,Form A
relationship_response_2087,70.7,0.891,21.7,Form B
relationship_response_2088,72.2,0.457,18.7,Form C
relationship_response_2089,28.9,0.268,0.3,Form A
relationship_response_2090,21,0.12,4.9,Form B
relationship_response_2091,71.4,0.492,11.5,Form C
relationship_response_2092,74,0.598,41.7,Form A
relationship_response_2093,63.7,0.606,19.9,Form A
relationship_response_2094,22.6,0.116,6.2,Form A
relationship_response_2095,73.6,0.61,6,Form C
