case_id,task_family,predicted_mastery_probability,true_mastery_probability,observed_mastery
calibration_case_0803,Multi-step modeling,0.6334,0.5249,0
calibration_case_0804,Multi-step modeling,0.2979,0.2535,0
calibration_case_0805,Procedural fluency,0.7002,0.6485,1
calibration_case_0806,Procedural fluency,0.6418,0.5963,1
calibration_case_0807,Conceptual explanation,0.2213,0.225,0
calibration_case_0808,Conceptual explanation,0.5256,0.4766,0
calibration_case_0809,Procedural fluency,0.7656,0.7097,1
calibration_case_0810,Procedural fluency,0.6299,0.5858,1
calibration_case_0811,Conceptual explanation,0.5164,0.4688,1
calibration_case_0812,Conceptual explanation,0.7,0.6299,0
calibration_case_0813,Conceptual explanation,0.5329,0.4827,0
calibration_case_0814,Procedural fluency,0.6782,0.6286,1
calibration_case_0815,Procedural fluency,0.4493,0.4326,0
calibration_case_0816,Procedural fluency,0.9295,0.8876,1
calibration_case_0817,Procedural fluency,0.4516,0.4346,0
calibration_case_0818,Procedural fluency,0.4354,0.4211,1
calibration_case_0819,Conceptual explanation,0.4835,0.4414,0
calibration_case_0820,Conceptual explanation,0.0888,0.1057,0
calibration_case_0821,Conceptual explanation,0.164,0.1753,0
calibration_case_0822,Procedural fluency,0.6577,0.6103,1
calibration_case_0823,Multi-step modeling,0.3995,0.3313,0
calibration_case_0824,Multi-step modeling,0.7652,0.653,1
calibration_case_0825,Procedural fluency,0.5481,0.5156,0
calibration_case_0826,Conceptual explanation,0.2544,0.2529,1
calibration_case_0827,Multi-step modeling,0.5878,0.4846,0
calibration_case_0828,Multi-step modeling,0.6929,0.5802,0
calibration_case_0829,Procedural fluency,0.3754,0.3711,1
calibration_case_0830,Conceptual explanation,0.4297,0.3971,0
calibration_case_0831,Procedural fluency,0.4584,0.4403,0
calibration_case_0832,Procedural fluency,0.4382,0.4235,0
calibration_case_0833,Procedural fluency,0.713,0.6602,1
calibration_case_0834,Procedural fluency,0.4734,0.4528,1
calibration_case_0835,Conceptual explanation,0.2614,0.2588,1
calibration_case_0836,Conceptual explanation,0.2045,0.2107,0
calibration_case_0837,Multi-step modeling,0.493,0.4053,1
calibration_case_0838,Multi-step modeling,0.7344,0.6211,0
calibration_case_0839,Conceptual explanation,0.4128,0.3832,1
calibration_case_0840,Conceptual explanation,0.4599,0.4219,1
calibration_case_0841,Conceptual explanation,0.211,0.2162,0
calibration_case_0842,Multi-step modeling,0.2256,0.1985,0
calibration_case_0843,Multi-step modeling,0.4668,0.3842,0
calibration_case_0844,Conceptual explanation,0.6747,0.6065,1
calibration_case_0845,Procedural fluency,0.6513,0.6046,1
calibration_case_0846,Procedural fluency,0.5716,0.5355,0
calibration_case_0847,Procedural fluency,0.4876,0.4647,0
calibration_case_0848,Procedural fluency,0.6543,0.6073,1
calibration_case_0849,Procedural fluency,0.2698,0.2817,0
calibration_case_0850,Procedural fluency,0.6583,0.6108,1
calibration_case_0851,Procedural fluency,0.7085,0.6562,0
calibration_case_0852,Conceptual explanation,0.7895,0.7171,1
calibration_case_0853,Conceptual explanation,0.4362,0.4024,1
calibration_case_0854,Procedural fluency,0.4572,0.4393,0
calibration_case_0855,Procedural fluency,0.9386,0.8994,1
calibration_case_0856,Procedural fluency,0.2329,0.2495,0
calibration_case_0857,Multi-step modeling,0.3053,0.2591,0
calibration_case_0858,Procedural fluency,0.2948,0.3031,0
calibration_case_0859,Conceptual explanation,0.7868,0.7144,0
calibration_case_0860,Procedural fluency,0.4221,0.41,0
calibration_case_0861,Procedural fluency,0.6641,0.616,1
calibration_case_0862,Conceptual explanation,0.4634,0.4248,0
calibration_case_0863,Conceptual explanation,0.7913,0.719,1
calibration_case_0864,Conceptual explanation,0.43,0.3973,0
calibration_case_0865,Multi-step modeling,0.2531,0.2194,0
calibration_case_0866,Procedural fluency,0.3796,0.3746,0
calibration_case_0867,Procedural fluency,0.6662,0.6179,1
calibration_case_0868,Multi-step modeling,0.4688,0.3858,0
calibration_case_0869,Conceptual explanation,0.6258,0.5627,1
calibration_case_0870,Procedural fluency,0.2624,0.2753,0
calibration_case_0871,Multi-step modeling,0.2517,0.2183,0
calibration_case_0872,Conceptual explanation,0.3557,0.3365,0
calibration_case_0873,Conceptual explanation,0.7663,0.6937,1
calibration_case_0874,Conceptual explanation,0.5179,0.4701,0
calibration_case_0875,Procedural fluency,0.9292,0.8872,0
calibration_case_0876,Procedural fluency,0.5016,0.4763,0
calibration_case_0877,Conceptual explanation,0.7451,0.6728,1
calibration_case_0878,Conceptual explanation,0.4723,0.4321,0
calibration_case_0879,Procedural fluency,0.3741,0.37,0
calibration_case_0880,Conceptual explanation,0.4534,0.4165,0
calibration_case_0881,Conceptual explanation,0.8205,0.7496,1
calibration_case_0882,Conceptual explanation,0.8008,0.7288,1
calibration_case_0883,Procedural fluency,0.6239,0.5805,0
calibration_case_0884,Procedural fluency,0.5237,0.4949,1
calibration_case_0885,Procedural fluency,0.4672,0.4476,1
calibration_case_0886,Procedural fluency,0.6438,0.598,1
calibration_case_0887,Conceptual explanation,0.5324,0.4823,0
calibration_case_0888,Procedural fluency,0.783,0.7267,1
calibration_case_0889,Procedural fluency,0.9412,0.9029,1
calibration_case_0890,Conceptual explanation,0.8266,0.7562,0
calibration_case_0891,Procedural fluency,0.2349,0.2513,0
calibration_case_0892,Procedural fluency,0.9807,0.9609,1
calibration_case_0893,Conceptual explanation,0.4788,0.4375,1
calibration_case_0894,Procedural fluency,0.4608,0.4423,1
calibration_case_0895,Conceptual explanation,0.7033,0.6329,1
calibration_case_0896,Multi-step modeling,0.1229,0.118,1
calibration_case_0897,Procedural fluency,0.8268,0.7708,1
calibration_case_0898,Conceptual explanation,0.2246,0.2278,0
calibration_case_0899,Conceptual explanation,0.6854,0.6164,1
calibration_case_0900,Procedural fluency,0.7151,0.6622,1
calibration_case_0901,Procedural fluency,0.6388,0.5937,1
calibration_case_0902,Procedural fluency,0.6405,0.5951,1
calibration_case_0903,Procedural fluency,0.5561,0.5223,0
calibration_case_0904,Conceptual explanation,0.4473,0.4115,1
calibration_case_0905,Procedural fluency,0.9223,0.8784,1
calibration_case_0906,Conceptual explanation,0.6576,0.591,0
calibration_case_0907,Conceptual explanation,0.545,0.4929,0
calibration_case_0908,Multi-step modeling,0.7505,0.6376,1
calibration_case_0909,Conceptual explanation,0.7332,0.6614,1
calibration_case_0910,Procedural fluency,0.6222,0.5791,0
calibration_case_0911,Multi-step modeling,0.798,0.6887,0
calibration_case_0912,Conceptual explanation,0.3092,0.2983,0
calibration_case_0913,Conceptual explanation,0.1762,0.1861,0
calibration_case_0914,Procedural fluency,0.8213,0.7651,1
calibration_case_0915,Conceptual explanation,0.8908,0.8297,1
calibration_case_0916,Multi-step modeling,0.7172,0.6039,1
calibration_case_0917,Multi-step modeling,0.2892,0.2468,0
calibration_case_0918,Procedural fluency,0.6832,0.6331,1
calibration_case_0919,Conceptual explanation,0.2133,0.2182,0
calibration_case_0920,Procedural fluency,0.414,0.4032,1
calibration_case_0921,Multi-step modeling,0.1908,0.1717,0
calibration_case_0922,Conceptual explanation,0.1756,0.1856,0
calibration_case_0923,Conceptual explanation,0.9286,0.8781,1
calibration_case_0924,Conceptual explanation,0.4933,0.4495,1
calibration_case_0925,Procedural fluency,0.8462,0.7912,1
calibration_case_0926,Conceptual explanation,0.6294,0.5658,1
calibration_case_0927,Procedural fluency,0.815,0.7587,1
calibration_case_0928,Multi-step modeling,0.8088,0.7009,1
calibration_case_0929,Conceptual explanation,0.2332,0.2351,0
calibration_case_0930,Conceptual explanation,0.7182,0.647,1
calibration_case_0931,Procedural fluency,0.742,0.6873,1
calibration_case_0932,Procedural fluency,0.5759,0.5392,0
calibration_case_0933,Procedural fluency,0.4548,0.4372,1
calibration_case_0934,Multi-step modeling,0.6652,0.554,0
calibration_case_0935,Procedural fluency,0.4367,0.4222,0
calibration_case_0936,Procedural fluency,0.894,0.8444,0
calibration_case_0937,Multi-step modeling,0.5423,0.4458,0
calibration_case_0938,Procedural fluency,0.5103,0.4836,1
calibration_case_0939,Conceptual explanation,0.8716,0.8068,1
calibration_case_0940,Conceptual explanation,0.5385,0.4874,1
calibration_case_0941,Multi-step modeling,0.4712,0.3877,0
calibration_case_0942,Procedural fluency,0.4373,0.4227,1
calibration_case_0943,Conceptual explanation,0.7482,0.6758,1
calibration_case_0944,Procedural fluency,0.5637,0.5288,0
calibration_case_0945,Conceptual explanation,0.6128,0.5512,1
calibration_case_0946,Conceptual explanation,0.6427,0.5777,1
calibration_case_0947,Procedural fluency,0.9609,0.9302,1
calibration_case_0948,Conceptual explanation,0.372,0.3498,1
calibration_case_0949,Multi-step modeling,0.5991,0.4944,1
calibration_case_0950,Conceptual explanation,0.1433,0.1568,0
calibration_case_0951,Conceptual explanation,0.6233,0.5604,0
calibration_case_0952,Multi-step modeling,0.7192,0.6058,0
calibration_case_0953,Conceptual explanation,0.5864,0.5282,1
calibration_case_0954,Conceptual explanation,0.3225,0.3093,0
calibration_case_0955,Multi-step modeling,0.5486,0.4511,0
calibration_case_0956,Procedural fluency,0.5562,0.5224,1
calibration_case_0957,Multi-step modeling,0.2647,0.2282,0
calibration_case_0958,Conceptual explanation,0.642,0.577,1
calibration_case_0959,Procedural fluency,0.7077,0.6554,1
calibration_case_0960,Multi-step modeling,0.4837,0.3978,1
calibration_case_0961,Procedural fluency,0.3143,0.3197,0
calibration_case_0962,Procedural fluency,0.8987,0.8499,1
calibration_case_0963,Conceptual explanation,0.7304,0.6587,1
calibration_case_0964,Conceptual explanation,0.9002,0.8412,0
calibration_case_0965,Multi-step modeling,0.6213,0.514,1
calibration_case_0966,Conceptual explanation,0.2324,0.2344,0
calibration_case_0967,Procedural fluency,0.7667,0.7108,1
calibration_case_0968,Procedural fluency,0.6553,0.6082,0
calibration_case_0969,Conceptual explanation,0.3124,0.301,0
calibration_case_0970,Conceptual explanation,0.7154,0.6443,0
calibration_case_0971,Multi-step modeling,0.4024,0.3335,0
calibration_case_0972,Multi-step modeling,0.9002,0.8158,1
calibration_case_0973,Procedural fluency,0.5862,0.5479,1
calibration_case_0974,Conceptual explanation,0.6898,0.6204,1
calibration_case_0975,Multi-step modeling,0.8142,0.707,0
calibration_case_0976,Procedural fluency,0.7001,0.6484,0
calibration_case_0977,Multi-step modeling,0.5776,0.4758,1
calibration_case_0978,Multi-step modeling,0.2493,0.2166,0
calibration_case_0979,Conceptual explanation,0.2843,0.2778,0
calibration_case_0980,Procedural fluency,0.7494,0.6943,0
calibration_case_0981,Conceptual explanation,0.4978,0.4533,0
calibration_case_0982,Conceptual explanation,0.445,0.4096,1
calibration_case_0983,Multi-step modeling,0.4984,0.4096,0
calibration_case_0984,Multi-step modeling,0.6895,0.5769,1
calibration_case_0985,Procedural fluency,0.181,0.203,1
calibration_case_0986,Multi-step modeling,0.316,0.2672,0
calibration_case_0987,Multi-step modeling,0.3514,0.2943,0
calibration_case_0988,Conceptual explanation,0.6569,0.5904,1
calibration_case_0989,Conceptual explanation,0.746,0.6737,1
calibration_case_0990,Multi-step modeling,0.7105,0.5973,0
calibration_case_0991,Multi-step modeling,0.2035,0.1815,0
calibration_case_0992,Conceptual explanation,0.24,0.2408,1
calibration_case_0993,Procedural fluency,0.3043,0.3111,0
calibration_case_0994,Conceptual explanation,0.7678,0.6952,0
calibration_case_0995,Conceptual explanation,0.4725,0.4323,0
calibration_case_0996,Multi-step modeling,0.5905,0.4869,0
calibration_case_0997,Conceptual explanation,0.1537,0.1662,0
calibration_case_0998,Procedural fluency,0.3441,0.3448,1
calibration_case_0999,Procedural fluency,0.4133,0.4026,1
calibration_case_1000,Procedural fluency,0.6106,0.569,0
calibration_case_1001,Multi-step modeling,0.0534,0.0587,0
calibration_case_1002,Conceptual explanation,0.2231,0.2265,1
calibration_case_1003,Procedural fluency,0.6935,0.6425,1
calibration_case_1004,Procedural fluency,0.7923,0.7358,1
calibration_case_1005,Conceptual explanation,0.675,0.6068,1
calibration_case_1006,Conceptual explanation,0.3259,0.3121,0
calibration_case_1007,Multi-step modeling,0.754,0.6412,1
calibration_case_1008,Conceptual explanation,0.6406,0.5758,0
calibration_case_1009,Conceptual explanation,0.6312,0.5675,1
calibration_case_1010,Procedural fluency,0.1959,0.2165,0
calibration_case_1011,Multi-step modeling,0.7424,0.6292,0
calibration_case_1012,Multi-step modeling,0.4513,0.3719,1
calibration_case_1013,Procedural fluency,0.5723,0.5361,1
calibration_case_1014,Multi-step modeling,0.1932,0.1736,0
calibration_case_1015,Conceptual explanation,0.8384,0.7691,1
calibration_case_1016,Multi-step modeling,0.3903,0.3242,0
calibration_case_1017,Conceptual explanation,0.133,0.1474,0
calibration_case_1018,Multi-step modeling,0.4909,0.4036,0
calibration_case_1019,Conceptual explanation,0.3634,0.3428,0
calibration_case_1020,Procedural fluency,0.6648,0.6166,0
calibration_case_1021,Multi-step modeling,0.4603,0.3791,1
calibration_case_1022,Procedural fluency,0.5456,0.5134,0
calibration_case_1023,Conceptual explanation,0.7074,0.6368,1
calibration_case_1024,Procedural fluency,0.8002,0.7437,1
calibration_case_1025,Conceptual explanation,0.348,0.3302,0
calibration_case_1026,Procedural fluency,0.6891,0.6385,1
calibration_case_1027,Multi-step modeling,0.2486,0.216,0
calibration_case_1028,Multi-step modeling,0.4908,0.4035,1
calibration_case_1029,Multi-step modeling,0.8249,0.7195,1
calibration_case_1030,Conceptual explanation,0.2972,0.2884,1
calibration_case_1031,Multi-step modeling,0.7696,0.6577,1
calibration_case_1032,Procedural fluency,0.3298,0.3328,0
calibration_case_1033,Procedural fluency,0.5968,0.5571,1
calibration_case_1034,Procedural fluency,0.5739,0.5374,0
calibration_case_1035,Multi-step modeling,0.1488,0.1389,1
calibration_case_1036,Conceptual explanation,0.7827,0.7102,1
calibration_case_1037,Procedural fluency,0.1516,0.1755,0
calibration_case_1038,Procedural fluency,0.5147,0.4874,1
calibration_case_1039,Procedural fluency,0.9062,0.8588,1
calibration_case_1040,Multi-step modeling,0.6353,0.5266,0
calibration_case_1041,Conceptual explanation,0.8114,0.7399,1
calibration_case_1042,Procedural fluency,0.4462,0.4301,0
calibration_case_1043,Multi-step modeling,0.4706,0.3873,0
calibration_case_1044,Multi-step modeling,0.198,0.1772,0
calibration_case_1045,Conceptual explanation,0.4044,0.3763,1
calibration_case_1046,Conceptual explanation,0.3076,0.297,0
calibration_case_1047,Procedural fluency,0.6706,0.6218,1
calibration_case_1048,Conceptual explanation,0.0852,0.1021,0
calibration_case_1049,Conceptual explanation,0.4251,0.3933,1
calibration_case_1050,Procedural fluency,0.3637,0.3613,0
calibration_case_1051,Procedural fluency,0.512,0.4851,1
calibration_case_1052,Conceptual explanation,0.6204,0.5579,1
calibration_case_1053,Procedural fluency,0.6932,0.6422,0
calibration_case_1054,Conceptual explanation,0.333,0.3179,0
calibration_case_1055,Procedural fluency,0.9181,0.8732,1
calibration_case_1056,Procedural fluency,0.306,0.3126,0
calibration_case_1057,Procedural fluency,0.1471,0.1714,0
calibration_case_1058,Procedural fluency,0.7947,0.7382,1
calibration_case_1059,Procedural fluency,0.4098,0.3998,0
calibration_case_1060,Conceptual explanation,0.3994,0.3722,1
calibration_case_1061,Procedural fluency,0.2124,0.2313,0
calibration_case_1062,Conceptual explanation,0.7486,0.6762,1
calibration_case_1063,Procedural fluency,0.7458,0.6909,0
calibration_case_1064,Multi-step modeling,0.6913,0.5786,1
calibration_case_1065,Procedural fluency,0.6561,0.6088,1
calibration_case_1066,Conceptual explanation,0.5513,0.4982,0
calibration_case_1067,Procedural fluency,0.8355,0.78,1
calibration_case_1068,Procedural fluency,0.6716,0.6227,0
calibration_case_1069,Conceptual explanation,0.6377,0.5732,1
calibration_case_1070,Conceptual explanation,0.0207,0.0317,0
calibration_case_1071,Procedural fluency,0.7739,0.7178,1
calibration_case_1072,Multi-step modeling,0.4534,0.3735,0
calibration_case_1073,Procedural fluency,0.7658,0.7099,1
calibration_case_1074,Procedural fluency,0.2647,0.2772,1
calibration_case_1075,Conceptual explanation,0.2528,0.2515,0
calibration_case_1076,Procedural fluency,0.4336,0.4196,1
calibration_case_1077,Procedural fluency,0.4318,0.4181,0
calibration_case_1078,Procedural fluency,0.219,0.2372,0
calibration_case_1079,Multi-step modeling,0.1339,0.127,0
calibration_case_1080,Procedural fluency,0.7451,0.6902,1
calibration_case_1081,Conceptual explanation,0.7848,0.7123,0
calibration_case_1082,Conceptual explanation,0.2761,0.271,0
calibration_case_1083,Procedural fluency,0.5209,0.4925,1
calibration_case_1084,Procedural fluency,0.819,0.7628,0
calibration_case_1085,Conceptual explanation,0.3972,0.3704,0
calibration_case_1086,Procedural fluency,0.2733,0.2846,1
calibration_case_1087,Procedural fluency,0.5457,0.5135,1
calibration_case_1088,Conceptual explanation,0.3133,0.3017,0
calibration_case_1089,Conceptual explanation,0.739,0.6669,1
calibration_case_1090,Conceptual explanation,0.4174,0.387,1
calibration_case_1091,Multi-step modeling,0.1406,0.1323,0
calibration_case_1092,Procedural fluency,0.7585,0.703,0
calibration_case_1093,Conceptual explanation,0.5879,0.5296,1
calibration_case_1094,Procedural fluency,0.7715,0.7155,1
calibration_case_1095,Procedural fluency,0.2958,0.3039,0
calibration_case_1096,Conceptual explanation,0.6108,0.5495,1
calibration_case_1097,Procedural fluency,0.7165,0.6635,1
calibration_case_1098,Procedural fluency,0.8598,0.8058,0
calibration_case_1099,Conceptual explanation,0.6331,0.5691,0
calibration_case_1100,Multi-step modeling,0.6881,0.5756,0
calibration_case_1101,Conceptual explanation,0.9588,0.9216,1
calibration_case_1102,Procedural fluency,0.9062,0.8588,1
calibration_case_1103,Procedural fluency,0.493,0.4692,0
calibration_case_1104,Procedural fluency,0.9247,0.8815,1
calibration_case_1105,Conceptual explanation,0.2494,0.2487,0
calibration_case_1106,Multi-step modeling,0.1383,0.1305,0
calibration_case_1107,Conceptual explanation,0.4866,0.444,0
calibration_case_1108,Conceptual explanation,0.3165,0.3044,0
calibration_case_1109,Multi-step modeling,0.1963,0.1759,1
calibration_case_1110,Procedural fluency,0.2717,0.2833,0
calibration_case_1111,Multi-step modeling,0.5466,0.4494,1
calibration_case_1112,Conceptual explanation,0.97,0.9394,1
calibration_case_1113,Procedural fluency,0.5709,0.5349,1
calibration_case_1114,Procedural fluency,0.6993,0.6477,1
calibration_case_1115,Procedural fluency,0.4353,0.421,0
calibration_case_1116,Multi-step modeling,0.5848,0.482,1
calibration_case_1117,Multi-step modeling,0.3752,0.3125,1
calibration_case_1118,Procedural fluency,0.8516,0.797,0
calibration_case_1119,Multi-step modeling,0.4551,0.3749,1
calibration_case_1120,Procedural fluency,0.2009,0.2211,1
calibration_case_1121,Conceptual explanation,0.6548,0.5885,1
calibration_case_1122,Procedural fluency,0.6532,0.6063,0
calibration_case_1123,Conceptual explanation,0.5843,0.5265,0
calibration_case_1124,Multi-step modeling,0.4409,0.3636,0
calibration_case_1125,Conceptual explanation,0.3708,0.3488,1
calibration_case_1126,Conceptual explanation,0.7344,0.6625,1
calibration_case_1127,Multi-step modeling,0.4095,0.3391,0
calibration_case_1128,Conceptual explanation,0.5839,0.5261,0
calibration_case_1129,Conceptual explanation,0.3824,0.3583,0
calibration_case_1130,Multi-step modeling,0.6298,0.5216,1
calibration_case_1131,Procedural fluency,0.569,0.5333,1
calibration_case_1132,Multi-step modeling,0.2699,0.2322,0
calibration_case_1133,Procedural fluency,0.2486,0.2632,0
calibration_case_1134,Conceptual explanation,0.2037,0.21,1
calibration_case_1135,Conceptual explanation,0.5476,0.4951,0
calibration_case_1136,Procedural fluency,0.1346,0.1593,0
calibration_case_1137,Conceptual explanation,0.2159,0.2204,0
calibration_case_1138,Procedural fluency,0.5375,0.5066,1
calibration_case_1139,Multi-step modeling,0.6066,0.5009,0
calibration_case_1140,Conceptual explanation,0.3156,0.3036,0
calibration_case_1141,Procedural fluency,0.4058,0.3965,1
calibration_case_1142,Procedural fluency,0.7839,0.7276,0
calibration_case_1143,Conceptual explanation,0.7319,0.66,1
calibration_case_1144,Procedural fluency,0.3513,0.3509,1
calibration_case_1145,Procedural fluency,0.6679,0.6194,1
calibration_case_1146,Conceptual explanation,0.6879,0.6187,0
calibration_case_1147,Multi-step modeling,0.6789,0.5668,0
calibration_case_1148,Procedural fluency,0.771,0.715,0
calibration_case_1149,Procedural fluency,0.7546,0.6992,0
calibration_case_1150,Conceptual explanation,0.6184,0.5561,1
calibration_case_1151,Conceptual explanation,0.431,0.3981,1
calibration_case_1152,Conceptual explanation,0.4149,0.3849,1
calibration_case_1153,Procedural fluency,0.0093,0.0176,0
calibration_case_1154,Procedural fluency,0.5726,0.5363,1
calibration_case_1155,Conceptual explanation,0.7792,0.7067,0
calibration_case_1156,Conceptual explanation,0.5402,0.4888,1
calibration_case_1157,Conceptual explanation,0.1108,0.1268,0
calibration_case_1158,Multi-step modeling,0.4664,0.3839,1
calibration_case_1159,Procedural fluency,0.274,0.2853,0
calibration_case_1160,Conceptual explanation,0.6955,0.6257,1
calibration_case_1161,Multi-step modeling,0.3871,0.3217,1
calibration_case_1162,Conceptual explanation,0.5163,0.4688,0
calibration_case_1163,Conceptual explanation,0.7912,0.7189,1
calibration_case_1164,Procedural fluency,0.7232,0.6697,0
calibration_case_1165,Procedural fluency,0.1123,0.1374,0
calibration_case_1166,Multi-step modeling,0.3742,0.3117,0
calibration_case_1167,Procedural fluency,0.6935,0.6424,1
calibration_case_1168,Conceptual explanation,0.6242,0.5613,1
calibration_case_1169,Procedural fluency,0.5542,0.5207,1
calibration_case_1170,Procedural fluency,0.4738,0.4531,0
calibration_case_1171,Multi-step modeling,0.649,0.539,0
calibration_case_1172,Procedural fluency,0.3786,0.3737,0
calibration_case_1173,Conceptual explanation,0.0331,0.0468,1
calibration_case_1174,Conceptual explanation,0.4534,0.4165,1
calibration_case_1175,Multi-step modeling,0.9364,0.8698,1
calibration_case_1176,Multi-step modeling,0.4047,0.3353,1
calibration_case_1177,Conceptual explanation,0.7174,0.6462,0
calibration_case_1178,Multi-step modeling,0.3372,0.2834,1
calibration_case_1179,Procedural fluency,0.7616,0.7059,0
calibration_case_1180,Conceptual explanation,0.3954,0.369,1
calibration_case_1181,Conceptual explanation,0.3162,0.3041,0
calibration_case_1182,Procedural fluency,0.2921,0.3008,0
calibration_case_1183,Conceptual explanation,0.7369,0.6649,0
calibration_case_1184,Procedural fluency,0.689,0.6384,1
calibration_case_1185,Conceptual explanation,0.6696,0.6019,1
calibration_case_1186,Procedural fluency,0.8489,0.7941,1
calibration_case_1187,Procedural fluency,0.6636,0.6155,0
calibration_case_1188,Procedural fluency,0.775,0.7189,1
calibration_case_1189,Conceptual explanation,0.4117,0.3823,0
calibration_case_1190,Procedural fluency,0.6109,0.5693,0
calibration_case_1191,Procedural fluency,0.6223,0.5792,1
calibration_case_1192,Conceptual explanation,0.5081,0.4619,0
calibration_case_1193,Multi-step modeling,0.2071,0.1843,0
calibration_case_1194,Procedural fluency,0.5215,0.4931,0
calibration_case_1195,Conceptual explanation,0.5556,0.5019,0
calibration_case_1196,Conceptual explanation,0.3276,0.3135,1
calibration_case_1197,Conceptual explanation,0.068,0.0848,1
calibration_case_1198,Procedural fluency,0.8158,0.7595,1
calibration_case_1199,Conceptual explanation,0.5589,0.5047,0
calibration_case_1200,Procedural fluency,0.4265,0.4137,1
calibration_case_1201,Procedural fluency,0.6059,0.5649,1
calibration_case_1202,Multi-step modeling,0.042,0.048,0
calibration_case_1203,Conceptual explanation,0.6221,0.5594,0
calibration_case_1204,Procedural fluency,0.2622,0.275,0
calibration_case_1205,Procedural fluency,0.5678,0.5323,1
calibration_case_1206,Multi-step modeling,0.2094,0.186,0
calibration_case_1207,Procedural fluency,0.5283,0.4988,0
calibration_case_1208,Procedural fluency,0.7473,0.6922,1
calibration_case_1209,Conceptual explanation,0.4105,0.3813,1
calibration_case_1210,Conceptual explanation,0.1772,0.187,0
calibration_case_1211,Procedural fluency,0.1696,0.1924,1
calibration_case_1212,Conceptual explanation,0.6878,0.6186,1
calibration_case_1213,Conceptual explanation,0.3204,0.3076,0
calibration_case_1214,Procedural fluency,0.7301,0.6761,1
calibration_case_1215,Procedural fluency,0.4507,0.4339,0
calibration_case_1216,Multi-step modeling,0.4968,0.4084,0
calibration_case_1217,Multi-step modeling,0.5356,0.4403,1
calibration_case_1218,Procedural fluency,0.2766,0.2875,0
calibration_case_1219,Conceptual explanation,0.6322,0.5683,0
calibration_case_1220,Procedural fluency,0.6977,0.6462,1
calibration_case_1221,Procedural fluency,0.4189,0.4074,0
calibration_case_1222,Conceptual explanation,0.4954,0.4513,0
calibration_case_1223,Procedural fluency,0.4548,0.4372,0
calibration_case_1224,Conceptual explanation,0.4725,0.4323,0
calibration_case_1225,Multi-step modeling,0.4082,0.338,0
calibration_case_1226,Procedural fluency,0.6279,0.584,0
calibration_case_1227,Conceptual explanation,0.1929,0.2007,0
calibration_case_1228,Procedural fluency,0.8755,0.8232,1
calibration_case_1229,Conceptual explanation,0.3248,0.3112,0
calibration_case_1230,Multi-step modeling,0.6333,0.5247,0
calibration_case_1231,Procedural fluency,0.7649,0.7091,0
calibration_case_1232,Conceptual explanation,0.6899,0.6205,1
calibration_case_1233,Conceptual explanation,0.8087,0.7371,0
calibration_case_1234,Multi-step modeling,0.6543,0.5439,1
calibration_case_1235,Conceptual explanation,0.425,0.3932,0
calibration_case_1236,Procedural fluency,0.7925,0.736,1
calibration_case_1237,Procedural fluency,0.526,0.4969,0
calibration_case_1238,Procedural fluency,0.7303,0.6763,0
calibration_case_1239,Multi-step modeling,0.2214,0.1953,0
calibration_case_1240,Procedural fluency,0.4384,0.4236,0
calibration_case_1241,Conceptual explanation,0.2931,0.2851,0
calibration_case_1242,Multi-step modeling,0.7111,0.5979,0
calibration_case_1243,Procedural fluency,0.7066,0.6544,1
calibration_case_1244,Procedural fluency,0.2024,0.2224,0
calibration_case_1245,Conceptual explanation,0.3253,0.3115,0
calibration_case_1246,Conceptual explanation,0.2765,0.2713,0
calibration_case_1247,Conceptual explanation,0.1991,0.206,0
calibration_case_1248,Conceptual explanation,0.6888,0.6195,1
calibration_case_1249,Conceptual explanation,0.3309,0.3162,0
calibration_case_1250,Conceptual explanation,0.6658,0.5985,1
calibration_case_1251,Multi-step modeling,0.7959,0.6863,1
calibration_case_1252,Procedural fluency,0.2921,0.3008,0
calibration_case_1253,Conceptual explanation,0.4662,0.4271,1
calibration_case_1254,Procedural fluency,0.5454,0.5132,1
calibration_case_1255,Procedural fluency,0.4737,0.4531,1
calibration_case_1256,Procedural fluency,0.7503,0.6952,0
calibration_case_1257,Multi-step modeling,0.0555,0.0607,0
calibration_case_1258,Procedural fluency,0.7666,0.7108,1
calibration_case_1259,Multi-step modeling,0.5853,0.4824,1
calibration_case_1260,Procedural fluency,0.8879,0.8373,1
calibration_case_1261,Conceptual explanation,0.5032,0.4578,1
calibration_case_1262,Procedural fluency,0.5167,0.4891,0
calibration_case_1263,Conceptual explanation,0.3228,0.3095,0
calibration_case_1264,Procedural fluency,0.6364,0.5915,1
calibration_case_1265,Procedural fluency,0.8409,0.7856,1
calibration_case_1266,Procedural fluency,0.6183,0.5757,1
calibration_case_1267,Procedural fluency,0.5902,0.5514,1
calibration_case_1268,Conceptual explanation,0.6907,0.6213,0
calibration_case_1269,Conceptual explanation,0.1389,0.1528,0
calibration_case_1270,Conceptual explanation,0.5558,0.5021,1
calibration_case_1271,Procedural fluency,0.9738,0.9496,1
calibration_case_1272,Procedural fluency,0.1946,0.2153,1
calibration_case_1273,Procedural fluency,0.5523,0.5191,1
calibration_case_1274,Multi-step modeling,0.3729,0.3108,1
calibration_case_1275,Multi-step modeling,0.5425,0.446,1
calibration_case_1276,Procedural fluency,0.5302,0.5004,1
calibration_case_1277,Conceptual explanation,0.6714,0.6035,1
