response_id,support_model,assessment_window,score_percent,completion_time_minutes
raincloud_response_002_194,Targeted reteach,postcycle,77.9,30.8
raincloud_response_002_195,Targeted reteach,midcycle,68.4,23
raincloud_response_002_196,Targeted reteach,diagnostic,51.8,44
raincloud_response_002_197,Targeted reteach,diagnostic,68.9,29.5
raincloud_response_002_198,Targeted reteach,diagnostic,45.1,29.8
raincloud_response_002_199,Targeted reteach,postcycle,78.8,15.7
raincloud_response_002_200,Targeted reteach,midcycle,67.2,22.1
raincloud_response_002_201,Targeted reteach,midcycle,75.2,31.5
raincloud_response_002_202,Targeted reteach,diagnostic,65.3,36.5
raincloud_response_002_203,Targeted reteach,midcycle,71.5,38.6
raincloud_response_002_204,Targeted reteach,midcycle,90.1,32
raincloud_response_002_205,Targeted reteach,diagnostic,56.5,33
raincloud_response_002_206,Targeted reteach,diagnostic,72.6,33.8
raincloud_response_002_207,Targeted reteach,postcycle,53.6,38.3
raincloud_response_002_208,Targeted reteach,midcycle,36.1,41.2
raincloud_response_002_209,Targeted reteach,midcycle,75.4,36.7
raincloud_response_002_210,Targeted reteach,postcycle,62.5,38.9
raincloud_response_002_211,Targeted reteach,midcycle,77.6,27.9
raincloud_response_002_212,Targeted reteach,postcycle,76.7,34.2
raincloud_response_002_213,Targeted reteach,diagnostic,63.1,37.6
raincloud_response_002_214,Targeted reteach,midcycle,64.7,47.2
raincloud_response_002_215,Targeted reteach,postcycle,91.5,25.2
raincloud_response_002_216,Targeted reteach,midcycle,40.1,29.7
raincloud_response_002_217,Targeted reteach,diagnostic,71.1,32.9
raincloud_response_002_218,Targeted reteach,diagnostic,83.9,44.8
raincloud_response_002_219,Targeted reteach,midcycle,76.3,31.7
raincloud_response_002_220,Targeted reteach,midcycle,72.9,39.4
raincloud_response_002_221,Targeted reteach,diagnostic,64.4,30.9
raincloud_response_002_222,Targeted reteach,midcycle,63.6,28.2
raincloud_response_002_223,Targeted reteach,diagnostic,72.7,22.2
raincloud_response_002_224,Targeted reteach,postcycle,65.5,37
raincloud_response_002_225,Targeted reteach,postcycle,64.2,36.3
raincloud_response_002_226,Targeted reteach,postcycle,73.5,41
raincloud_response_002_227,Targeted reteach,diagnostic,63.4,45.7
raincloud_response_002_228,Targeted reteach,midcycle,56.1,34.6
raincloud_response_002_229,Targeted reteach,diagnostic,79.3,12
raincloud_response_002_230,Targeted reteach,diagnostic,82.3,37
raincloud_response_002_231,Targeted reteach,midcycle,49.6,34.6
raincloud_response_002_232,Targeted reteach,postcycle,41.3,38.5
raincloud_response_002_233,Targeted reteach,midcycle,77.4,43.2
raincloud_response_002_234,Targeted reteach,diagnostic,61.8,32.8
raincloud_response_002_235,Targeted reteach,diagnostic,65.8,43.6
raincloud_response_002_236,Targeted reteach,diagnostic,42.9,40.9
raincloud_response_002_237,Targeted reteach,midcycle,79.3,26.3
raincloud_response_002_238,Targeted reteach,diagnostic,48.7,27.9
raincloud_response_002_239,Targeted reteach,midcycle,88.8,43.9
raincloud_response_002_240,Targeted reteach,midcycle,72.9,38.5
raincloud_response_002_241,Targeted reteach,diagnostic,73.1,33.2
raincloud_response_002_242,Targeted reteach,midcycle,67,36.3
raincloud_response_002_243,Targeted reteach,postcycle,67,21.7
raincloud_response_002_244,Targeted reteach,postcycle,68.7,31.7
raincloud_response_002_245,Targeted reteach,midcycle,44.1,42.7
raincloud_response_002_246,Targeted reteach,midcycle,79.1,26
raincloud_response_002_247,Targeted reteach,midcycle,83.7,36.9
raincloud_response_002_248,Targeted reteach,midcycle,88.1,26.4
raincloud_response_002_249,Targeted reteach,postcycle,83.5,29.4
raincloud_response_002_250,Targeted reteach,diagnostic,77.6,33.8
raincloud_response_002_251,Targeted reteach,postcycle,70.7,39.7
raincloud_response_002_252,Targeted reteach,diagnostic,55,21.7
raincloud_response_002_253,Targeted reteach,midcycle,79.1,27.4
raincloud_response_002_254,Targeted reteach,diagnostic,65.7,37.1
raincloud_response_002_255,Targeted reteach,diagnostic,65.1,34.3
raincloud_response_002_256,Targeted reteach,midcycle,74.5,36.1
raincloud_response_002_257,Targeted reteach,diagnostic,66.6,34.4
raincloud_response_002_258,Targeted reteach,postcycle,54.9,30.9
raincloud_response_002_259,Targeted reteach,postcycle,82,39.8
raincloud_response_002_260,Targeted reteach,midcycle,41.8,29.3
raincloud_response_003_001,AI practice,midcycle,75.8,39.7
raincloud_response_003_002,AI practice,postcycle,84.9,30.7
raincloud_response_003_003,AI practice,midcycle,93.8,20.8
raincloud_response_003_004,AI practice,diagnostic,94.1,28.9
raincloud_response_003_005,AI practice,midcycle,70.9,26.4
raincloud_response_003_006,AI practice,midcycle,64.1,22.4
raincloud_response_003_007,AI practice,diagnostic,81.4,21.5
raincloud_response_003_008,AI practice,postcycle,93.9,29.8
raincloud_response_003_009,AI practice,diagnostic,71,16.1
raincloud_response_003_010,AI practice,diagnostic,75.5,32.9
raincloud_response_003_011,AI practice,diagnostic,70.2,45
raincloud_response_003_012,AI practice,postcycle,76.9,23.6
raincloud_response_003_013,AI practice,midcycle,71.4,40.1
raincloud_response_003_014,AI practice,diagnostic,73.1,28.7
raincloud_response_003_015,AI practice,midcycle,87.4,28.3
raincloud_response_003_016,AI practice,midcycle,70.8,31.6
raincloud_response_003_017,AI practice,midcycle,81.6,29.4
raincloud_response_003_018,AI practice,postcycle,79.7,43.9
raincloud_response_003_019,AI practice,postcycle,73.2,30.9
raincloud_response_003_020,AI practice,midcycle,67.5,38
raincloud_response_003_021,AI practice,postcycle,93.4,31
raincloud_response_003_022,AI practice,postcycle,61,17.4
raincloud_response_003_023,AI practice,postcycle,22.9,34.8
raincloud_response_003_024,AI practice,midcycle,64.1,39.3
raincloud_response_003_025,AI practice,postcycle,83.6,24.6
raincloud_response_003_026,AI practice,midcycle,81.5,16.7
raincloud_response_003_027,AI practice,postcycle,70.7,39
raincloud_response_003_028,AI practice,postcycle,78.4,29.7
raincloud_response_003_029,AI practice,midcycle,79.3,21
raincloud_response_003_030,AI practice,diagnostic,63.1,39
raincloud_response_003_031,AI practice,diagnostic,62.8,29.8
raincloud_response_003_032,AI practice,diagnostic,41.6,22.2
raincloud_response_003_033,AI practice,postcycle,73.8,36.5
raincloud_response_003_034,AI practice,midcycle,73.4,40.2
raincloud_response_003_035,AI practice,diagnostic,79,25.8
raincloud_response_003_036,AI practice,midcycle,64.3,35.6
raincloud_response_003_037,AI practice,postcycle,75,46.2
raincloud_response_003_038,AI practice,postcycle,79.6,42.9
raincloud_response_003_039,AI practice,diagnostic,81,49.9
raincloud_response_003_040,AI practice,midcycle,97.6,34.8
raincloud_response_003_041,AI practice,postcycle,73.4,30.9
raincloud_response_003_042,AI practice,postcycle,71.4,27.5
raincloud_response_003_043,AI practice,midcycle,72.3,27
raincloud_response_003_044,AI practice,midcycle,77.6,36.1
raincloud_response_003_045,AI practice,diagnostic,61.4,26
raincloud_response_003_046,AI practice,postcycle,78.2,26.6
raincloud_response_003_047,AI practice,midcycle,65.3,30.3
raincloud_response_003_048,AI practice,postcycle,68.4,40.9
raincloud_response_003_049,AI practice,diagnostic,90,43.2
raincloud_response_003_050,AI practice,postcycle,39.7,28.5
raincloud_response_003_051,AI practice,postcycle,88.1,35.1
raincloud_response_003_052,AI practice,diagnostic,65.1,30
raincloud_response_003_053,AI practice,midcycle,64.3,35.9
raincloud_response_003_054,AI practice,diagnostic,90.9,25.7
raincloud_response_003_055,AI practice,diagnostic,87.5,33.5
raincloud_response_003_056,AI practice,diagnostic,64.5,33.9
raincloud_response_003_057,AI practice,midcycle,93.9,33
raincloud_response_003_058,AI practice,midcycle,77.6,34
raincloud_response_003_059,AI practice,postcycle,89.8,37.3
raincloud_response_003_060,AI practice,diagnostic,79.8,26
raincloud_response_003_061,AI practice,diagnostic,61.5,45
raincloud_response_003_062,AI practice,diagnostic,79.4,27.3
raincloud_response_003_063,AI practice,midcycle,74.3,26.3
raincloud_response_003_064,AI practice,postcycle,93.3,28.3
raincloud_response_003_065,AI practice,midcycle,72.5,34.3
raincloud_response_003_066,AI practice,midcycle,80.4,34.2
raincloud_response_003_067,AI practice,diagnostic,46.3,36.9
raincloud_response_003_068,AI practice,postcycle,82.4,35.2
raincloud_response_003_069,AI practice,midcycle,91.7,29.6
raincloud_response_003_070,AI practice,midcycle,81.6,36
raincloud_response_003_071,AI practice,postcycle,85.2,37.2
raincloud_response_003_072,AI practice,midcycle,93.5,31.2
raincloud_response_003_073,AI practice,midcycle,77.6,34.4
raincloud_response_003_074,AI practice,diagnostic,60,29.6
raincloud_response_003_075,AI practice,diagnostic,82.8,37
raincloud_response_003_076,AI practice,postcycle,51.7,34.9
raincloud_response_003_077,AI practice,diagnostic,84.4,34.3
raincloud_response_003_078,AI practice,midcycle,58.1,44
raincloud_response_003_079,AI practice,midcycle,72.9,34.9
raincloud_response_003_080,AI practice,midcycle,98.2,24.1
raincloud_response_003_081,AI practice,midcycle,68.9,29.5
raincloud_response_003_082,AI practice,diagnostic,75.6,24.6
raincloud_response_003_083,AI practice,diagnostic,59.5,33.4
raincloud_response_003_084,AI practice,diagnostic,92.7,27.5
raincloud_response_003_085,AI practice,midcycle,70.2,27.3
raincloud_response_003_086,AI practice,midcycle,64.8,30.9
raincloud_response_003_087,AI practice,midcycle,78.9,36.6
raincloud_response_003_088,AI practice,midcycle,78.5,33.4
raincloud_response_003_089,AI practice,midcycle,80.9,23.1
raincloud_response_003_090,AI practice,diagnostic,68.3,29.5
raincloud_response_003_091,AI practice,midcycle,89.8,29.2
raincloud_response_003_092,AI practice,diagnostic,71.5,38.9
raincloud_response_003_093,AI practice,postcycle,93.8,20.1
raincloud_response_003_094,AI practice,midcycle,76.9,42.6
raincloud_response_003_095,AI practice,postcycle,52.4,31.6
raincloud_response_003_096,AI practice,midcycle,83.6,25.5
raincloud_response_003_097,AI practice,midcycle,61.9,21.1
raincloud_response_003_098,AI practice,midcycle,80.5,18
raincloud_response_003_099,AI practice,diagnostic,74.7,41.2
raincloud_response_003_100,AI practice,postcycle,73.9,35.3
raincloud_response_003_101,AI practice,midcycle,64,30.8
raincloud_response_003_102,AI practice,midcycle,65.3,41.9
raincloud_response_003_103,AI practice,midcycle,73,27.6
raincloud_response_003_104,AI practice,midcycle,96.2,27.6
raincloud_response_003_105,AI practice,midcycle,71.9,47.9
raincloud_response_003_106,AI practice,diagnostic,82.9,35.4
raincloud_response_003_107,AI practice,diagnostic,75.4,38.1
raincloud_response_003_108,AI practice,diagnostic,71.4,41.4
raincloud_response_003_109,AI practice,diagnostic,84.4,35.1
raincloud_response_003_110,AI practice,postcycle,80.2,31.4
raincloud_response_003_111,AI practice,postcycle,88.9,54.2
raincloud_response_003_112,AI practice,midcycle,59.7,42.5
raincloud_response_003_113,AI practice,postcycle,78.5,33.3
raincloud_response_003_114,AI practice,midcycle,74.1,30.9
raincloud_response_003_115,AI practice,midcycle,80.9,33.6
raincloud_response_003_116,AI practice,postcycle,78.6,34.8
raincloud_response_003_117,AI practice,postcycle,73.8,30.3
raincloud_response_003_118,AI practice,postcycle,76.8,33.4
raincloud_response_003_119,AI practice,postcycle,63.6,26.3
raincloud_response_003_120,AI practice,postcycle,87.9,27.6
raincloud_response_003_121,AI practice,postcycle,69,34.7
raincloud_response_003_122,AI practice,midcycle,60,31.5
raincloud_response_003_123,AI practice,postcycle,69,28.9
raincloud_response_003_124,AI practice,diagnostic,46.5,35.5
raincloud_response_003_125,AI practice,postcycle,75.9,34.6
raincloud_response_003_126,AI practice,postcycle,84.8,28.9
raincloud_response_003_127,AI practice,diagnostic,86.5,45.1
raincloud_response_003_128,AI practice,diagnostic,68.5,30.8
raincloud_response_003_129,AI practice,postcycle,51,44.9
raincloud_response_003_130,AI practice,diagnostic,85.2,46.9
raincloud_response_003_131,AI practice,postcycle,80.7,33.7
raincloud_response_003_132,AI practice,diagnostic,52.1,23.6
raincloud_response_003_133,AI practice,diagnostic,86.6,36.6
raincloud_response_003_134,AI practice,diagnostic,88.9,30.5
raincloud_response_003_135,AI practice,midcycle,89.3,39.4
raincloud_response_003_136,AI practice,diagnostic,69.2,31.3
raincloud_response_003_137,AI practice,diagnostic,83.3,39
raincloud_response_003_138,AI practice,midcycle,82.2,20.3
raincloud_response_003_139,AI practice,diagnostic,79.7,34.1
raincloud_response_003_140,AI practice,postcycle,80.7,36
raincloud_response_003_141,AI practice,diagnostic,48.7,25
raincloud_response_003_142,AI practice,postcycle,63.6,29.9
raincloud_response_003_143,AI practice,diagnostic,70.9,31
raincloud_response_003_144,AI practice,diagnostic,77.6,44.3
raincloud_response_003_145,AI practice,postcycle,64.8,31.5
raincloud_response_003_146,AI practice,midcycle,76.1,28.9
raincloud_response_003_147,AI practice,postcycle,71.9,28.6
raincloud_response_003_148,AI practice,diagnostic,67.1,32.7
raincloud_response_003_149,AI practice,diagnostic,89.9,28.6
raincloud_response_003_150,AI practice,diagnostic,66,35.6
raincloud_response_003_151,AI practice,postcycle,70.1,28.8
raincloud_response_003_152,AI practice,postcycle,67.4,29.9
raincloud_response_003_153,AI practice,diagnostic,63.2,26.4
raincloud_response_003_154,AI practice,midcycle,85.1,29.2
raincloud_response_003_155,AI practice,diagnostic,68.9,29.2
raincloud_response_003_156,AI practice,midcycle,75.1,17.4
raincloud_response_003_157,AI practice,midcycle,68.8,36.4
raincloud_response_003_158,AI practice,diagnostic,83,36.4
raincloud_response_003_159,AI practice,diagnostic,91.1,38.6
raincloud_response_003_160,AI practice,midcycle,74.7,29
raincloud_response_003_161,AI practice,postcycle,87.4,36.5
raincloud_response_003_162,AI practice,diagnostic,72.7,32.4
raincloud_response_003_163,AI practice,diagnostic,97.7,33.2
raincloud_response_003_164,AI practice,diagnostic,68,27.2
raincloud_response_003_165,AI practice,diagnostic,69.3,36.5
raincloud_response_003_166,AI practice,diagnostic,81.8,37.1
raincloud_response_003_167,AI practice,postcycle,92.1,16.6
raincloud_response_003_168,AI practice,midcycle,64.3,41.6
raincloud_response_003_169,AI practice,midcycle,88.5,32.5
raincloud_response_003_170,AI practice,midcycle,73,40.4
raincloud_response_003_171,AI practice,postcycle,77.2,23.6
raincloud_response_003_172,AI practice,postcycle,68.4,39.3
raincloud_response_003_173,AI practice,diagnostic,62.3,34.6
raincloud_response_003_174,AI practice,midcycle,76.2,38.5
raincloud_response_003_175,AI practice,midcycle,73.3,36.5
raincloud_response_003_176,AI practice,diagnostic,67.9,19.7
raincloud_response_003_177,AI practice,postcycle,69.1,33.6
raincloud_response_003_178,AI practice,diagnostic,67.5,36.1
raincloud_response_003_179,AI practice,diagnostic,68.9,23.4
raincloud_response_003_180,AI practice,diagnostic,74.1,34.5
raincloud_response_003_181,AI practice,midcycle,70.9,27.1
raincloud_response_003_182,AI practice,postcycle,83.6,44.1
raincloud_response_003_183,AI practice,diagnostic,95.7,38
raincloud_response_003_184,AI practice,diagnostic,69,36.3
raincloud_response_003_185,AI practice,midcycle,66.5,21.2
raincloud_response_003_186,AI practice,postcycle,77.7,41.3
raincloud_response_003_187,AI practice,midcycle,70.9,45.1
raincloud_response_003_188,AI practice,midcycle,69.8,34
raincloud_response_003_189,AI practice,midcycle,88.9,20.1
raincloud_response_003_190,AI practice,postcycle,72.1,33.8
raincloud_response_003_191,AI practice,midcycle,66.9,39.6
raincloud_response_003_192,AI practice,postcycle,73.5,45.7
raincloud_response_003_193,AI practice,diagnostic,82.3,27.8
raincloud_response_003_194,AI practice,diagnostic,75.1,24.4
raincloud_response_003_195,AI practice,midcycle,76.4,33.6
raincloud_response_003_196,AI practice,midcycle,89.9,27.8
raincloud_response_003_197,AI practice,midcycle,86.5,17.7
raincloud_response_003_198,AI practice,diagnostic,77.9,20.5
raincloud_response_003_199,AI practice,midcycle,77,23.6
raincloud_response_003_200,AI practice,midcycle,82.4,34.6
raincloud_response_003_201,AI practice,diagnostic,83,37.4
raincloud_response_003_202,AI practice,midcycle,100,29.4
raincloud_response_003_203,AI practice,diagnostic,78.5,49.7
raincloud_response_003_204,AI practice,midcycle,71.5,50.7
raincloud_response_003_205,AI practice,postcycle,63.8,26.2
raincloud_response_003_206,AI practice,midcycle,76.9,26.6
raincloud_response_003_207,AI practice,diagnostic,84.7,61
raincloud_response_003_208,AI practice,midcycle,65.2,34.1
raincloud_response_003_209,AI practice,midcycle,65.2,19.2
raincloud_response_003_210,AI practice,diagnostic,84.5,34
raincloud_response_003_211,AI practice,midcycle,86.2,39.4
raincloud_response_003_212,AI practice,postcycle,75.7,32.1
raincloud_response_003_213,AI practice,diagnostic,90.8,30.7
raincloud_response_003_214,AI practice,postcycle,52.7,21.1
raincloud_response_003_215,AI practice,midcycle,81.9,33.6
raincloud_response_003_216,AI practice,diagnostic,78.7,36.6
raincloud_response_003_217,AI practice,diagnostic,80.7,36.5
raincloud_response_003_218,AI practice,postcycle,78.2,31
raincloud_response_003_219,AI practice,midcycle,50.5,31.6
raincloud_response_003_220,AI practice,postcycle,91.6,23
raincloud_response_003_221,AI practice,diagnostic,81.1,42.7
raincloud_response_003_222,AI practice,diagnostic,81.4,28.6
raincloud_response_003_223,AI practice,diagnostic,72.1,30.5
raincloud_response_003_224,AI practice,postcycle,92.4,32.3
raincloud_response_003_225,AI practice,midcycle,85.2,40.9
raincloud_response_003_226,AI practice,midcycle,82.2,31.7
raincloud_response_003_227,AI practice,midcycle,74.7,29
raincloud_response_003_228,AI practice,postcycle,80.8,36.2
raincloud_response_003_229,AI practice,postcycle,80.8,28.6
raincloud_response_003_230,AI practice,midcycle,97.1,43.9
raincloud_response_003_231,AI practice,postcycle,76.4,24.9
raincloud_response_003_232,AI practice,midcycle,82.8,40.1
raincloud_response_003_233,AI practice,postcycle,85.9,27.6
raincloud_response_003_234,AI practice,diagnostic,88.6,17.9
raincloud_response_003_235,AI practice,diagnostic,60.2,38.7
raincloud_response_003_236,AI practice,diagnostic,96.3,37.3
raincloud_response_003_237,AI practice,postcycle,85.8,30.8
raincloud_response_003_238,AI practice,midcycle,71.3,36.2
raincloud_response_003_239,AI practice,midcycle,64.8,28.2
raincloud_response_003_240,AI practice,midcycle,63.3,37.2
raincloud_response_003_241,AI practice,midcycle,83.8,31.9
raincloud_response_003_242,AI practice,midcycle,58.6,29.9
raincloud_response_003_243,AI practice,diagnostic,100,48
raincloud_response_003_244,AI practice,midcycle,79.1,32.2
raincloud_response_003_245,AI practice,postcycle,40.3,48.2
raincloud_response_003_246,AI practice,postcycle,54,33.9
raincloud_response_003_247,AI practice,midcycle,50.7,45.3
raincloud_response_003_248,AI practice,postcycle,84.1,34.9
raincloud_response_003_249,AI practice,midcycle,64.1,38.9
raincloud_response_003_250,AI practice,postcycle,81.3,33.3
raincloud_response_003_251,AI practice,midcycle,98.6,26.1
raincloud_response_003_252,AI practice,diagnostic,72.9,26.3
raincloud_response_003_253,AI practice,postcycle,82.1,31.3
raincloud_response_003_254,AI practice,postcycle,81.9,19.3
raincloud_response_003_255,AI practice,midcycle,46.1,38.9
raincloud_response_003_256,AI practice,midcycle,70.8,29.6
raincloud_response_003_257,AI practice,postcycle,78.9,26
raincloud_response_003_258,AI practice,midcycle,80.6,29.7
raincloud_response_003_259,AI practice,diagnostic,77.3,39
raincloud_response_003_260,AI practice,midcycle,50.6,24
